Description; Website; Phone
HQSYSTEMS;hqsoftwarelab.com;+375 (29) 911-81-91
HUMAN SYSTEM;www.hs.by;+375 17 220-40-40
HUMANSEE LABS;humanseelabs.com;+375 29 183 51 08
I-TOP TECHNOLOGY;N/A;8 (029) 770-88-38
IBA GOMEL PARK;iba.by/about/ibagomel;+ 375 232 68 26 64
IBA IT PARK;www.ibagroupit.com;+375 17 269 77 77
ICS BEL;ic-service.by;+375 29 712-59-10
IDEANOMIX DIGITAL;www.ideanomixdigital.com;+375 44 5 888 5 98
IDF TECHNOLOGY;N/A;+375-17 2365340
IDT TECHNOLOGIES;N/A;+375 (29) 733-88-25
IGRO TEK LIMITED LIABILITY COMPANY;N/A;+375-29 1187000
IHS GLOBAL;www.ihs.com;+375 17 239 12 00
INDIGO BUNTING;https://indigobunting.net;+375293946983
INFORMATIONAL PORTALS AND SERVICES;ipos.by;+375 (17) 336-77-90
INNOWISE GROUP, LLC;innowise-group.com;+ 375 (212) 27 31 29
INSOFT ENGINEERING;www.insoftgroup.com;+375 29 639 80 66, +375 29 704 99 59; fax +375 17 237 31 20
INTELLECTSOFT BEL LLC;www.intellectsoft.net;(17) 397-89-72
INTELLIGENT SYSTEMS;www.is.by;+375 17 2022323
INTELLIGENT URBAN SYSTEMS;ius.by;+375 44 5370091 +375 29 3180180
INTERHASH;interhash.by;+375 29 2046575
INTERMECH;intermech.ru;+375-17 3062130
INTETICS BEL;www.intetics.com;+375 17 211-27-85
INTEXSOFT;www.intexsoft.com;+375 15 296-43-46
INTOSOFT;www.intosoft.by;tel/fax +37517 399 39 31, +37517 399 39 32, +37544 758 65 95
INVATECHS SOFTWARE;invatechs.com; +375 44 749 15 46
INVENTO LABS;www.invento.by;tel/fax  +375 17 395 28 26
IRIS MEDIA;theiris.io;+375-29 1979941
ISIDA-INFORMATICA;isida.by;+375 (212) 273-000 +375 (17) 268-13-00
ISSOFT SOLUTIONS;www.issoft.by;+375 17 294-51-61
IT BAND SYSTEMS;it-band.by;+375(17)2431417
IT TOP BY;www.ittopgroup.com;+375-29 508-92-16
ITA LTD.;www.ita.by;+375 17 319 13 01
ITACCO;itacco.by;+375 17 323-99-81 
ITECHART GROUP;www.itechart.com;+ 375 17 240 99 02
ITLECT;www.itlect.com;+375 222 24 47 48
ITRANS SMARTTECHNOLOGY;www.itst.by;+375-29 3496835
ITRANSITION;www.itransition.com; +375 17 300-40-04 
ITREX GROUP BEL;www.itrexgroup.com;(fax) +375 17 218 33 56
ITS PARTNER;www.itspartner.net;+375172131518
ITSUPPORTME, LLC;www.itsupportme.by;+375 44 791 12 22
ITT COMMUNICATIONS;N/A;+375 17 3025603, +375 29 7509972. +375 29 6094110
JAYDEVS;https://jaydevs.com;+37529 7849841
JAZZTEAM RND;https://www.jazzteam.org;+37529 753 10 41
JET BI;www.jetbi.com;+375 (17) 334 24 16; +375 29 165 21 00
JNETWORKS;jnc.nl;+375 22 33 46 0 13
JUKOLA-INFO-BREST;1soft.by;+375-162-406-407
KBL GROUP;www.kbl.by;+375297777078
KINO-MO TECHNOLOGIES;https://hypervsn.com;+37517 336 50 17
KYRIBA ENGINEERING;www.kyriba.com;+375 17 322 53 16
LACIT;lacit.net;+375 (33) 399-95-01 
LEVERX INTERNATIONAL;www.leverx.by;+375 17 232 20 01
LIBRASOFT;www.librasoft.by; +375 17 248 73 90
LIFT APP;liftapp.by;+375 44 515 67 72
LIGHT WELL ORGANIZATION;www.lwo.by;+ 375 17 334 10 02
LLC AGM SOFT;www.agmsoft.by;+375 17 265 69 90
LLC APPXITE;appxite.com;+375 (29) 120 30 16
LLC ?HUMANS IT?;minsk.humans.net;+375 17 260 37 19 
LLC ?AUTOCLASSIFIED?;av.by;+375173019805
LLC ?OCTOPUS GAMES?;gamedevsource.com;+375-29 3312433
LLC ?SUCCESS?;success-craft.com;+375 33 635 71 71
LOGIC DEVELOPMENT;www.logicsoftware.net;+375-29-610-03-09
LOGICLIKE;https://logiclike.com; +375(29) 361-22-99 
LOGICNOW;www.logicnow.com;+375 17 362-59-50
LUXOFT PLUS;luxsoftplus.by;8(017)-226-82-29, 8(017)-226-98-07
LUXSOFT;www.luxsoft.by;+375 17 224-08-91, 224-08-92, 251-18-93
LWO INTERNATIONAL;lwo.by;+375 17 334 16 00, +375 296 296 021
LYFT BLR;www.junolab.net;(fax) +375 17 2271413
MAINSOFT;https://www.mainsoft.org;+375 (29) 820-86-00
MAPDATA LLC;www.mapbox.by;+375 (29) 6-350-150
MAPSOFT;www.mapsoft.by;+375-17 389 38 98
MASHTABNYE RESHENIYA;www.mrsoft.by;+375 17 270-62-22
MBICYCLE;https://mbicycle.com;+375-29 338-27-73 
MCN GLOBAL;mediacube.network;+375 29 111 77 17
MELSOFT;melsoft-games.com;+375 17 264 24 09
MERKELEON DEVELOPMENT;merkeleon.by;+37529 326 5425
MIGHTY VISION LLC;mighty.vision;+375 29 10 555 99
MOBIKON-MEDIA;m-belarusbank.by;+375-29-388-08-01
MOBILE ANALYTICS;www.splitmetrics.com;+375 29 806 8011
MY POWER FARM;mypowerfarm.com;+375-29 6749548, +380-67-5055978
NEKLO;www.neklo.by;+375447195639
NETCO SPORT;netcosports.com;+375 17 328 68 77; fax +375 17 220 21 49
NETCRACKERBEL LLC;www.netcracker.com;+375 17 388 43 89
NEW IT OUTSOURCE;www.newsite.by;+375 17 278 00 45;+375 17  227 99 93
NEXTSOFT LTD;nextsoft.by;+375 29 7031972
NORD-SOFT;nord-soft.com;+375-29 6759317
NOVACOM GROUP;nvcm.net;+375 17 328-32-94
NPP TECHNIKON;technikon.by;+375 17 393 11 77
NTLAB-DESIGN;ntlab.com;+375-17-290 09 99
NTLAB-IC;www.ntlab-is.by;+375172909797
NTLAB-SYSTEMS;www.ntlab.com;+375 17 290-09-99
OBJECTSTYLE;objectstyle.com;+375 17 322 08 51
OCSICO;www.ocsico.com;+375 17 290 86 39
OCTONION TECHNOLOGY;www.piq.com;+375 17 328 68 77, +375 25 798 02 02
OMEGASOFTWARE;www.omegasoftware.ru;+375 17 334-42-73 
OMERTEX LTD;omertex.com;+375 17 254 75 74
ON THE SPOT DEVELOPMENT;onthespotdev.com;+375 29 1137700
ONDE;onde.app;+375-29 6775708
ONESOIL;www.onesoil.io;+375 29 316 53 34
ONILAB;https://onilab.com;+375 29 739 45 18
ONLINE MEDIA;exkavator.ru;+375 29 753 01 55 
OPENMYGAME;openmygame.com;+375257406302
ORANGE SOFT;www.orangesoft.by;+7-926-657-6777 +375-29-733-4708 
OSMP BEL;qiwi.by;+ 375 29 650-64-65 
OXAGILE;www.oxagile.by;+375 17 372 68 34
PANDADOC;www.pandadoc.com;+375 (17) 2519484
PAPAKAYA;papakaya.by;+375 29 762 67 55
PARALECT;https://www.paralect.com;+375 29 553 42 64
PI-CONSULT.BY;www.pi-consult.by;+375 29 304 81 55
PIXELPLEX LABS;https://pixelplex.io;+ 375 297 70 07 30
PIXOLIO;pixolio.by;+375 (29) 240-56-42
PLATFORMIO;platform.io; +375291377350
PLAYDAY;playday.by;+375 (29) 574-11-08 +375 (29) 568-38-73
PLAYTIKA BEL;www.playtika.by;+375 17 240 36 50
PM POOL;N/A;+ 375 17 330 12 50
POLIMASTER;https://ru.polimaster.com;+375 17 268 68 19
PREDIZO;www.predizo.com;+375 17 266 24 04; +375 29 187 45 06
PREMIUM SOFT;www.psoft.by;+375 17 200-09-20
PROMWAD SOFT;www.promwad.ru;+375 17 388 42 42
PSA DC;www.psa-software.com; +375 29 128 98 10
PST LABS LLC;pstlabs.by; +375 29 322 92 72
PURPLE GAMES LLC;N/A;+375-29-6101096
QITTIQ SOLUTIONS;qittiq.by;+375 29 607 94 57
QULIX SYSTEMS;www.qulix.ru;+375 17 306-38-68
R-NOX;www.r-nox.com;+375-44 721 91 31 +375-29 173 75 78
RED ROCK;redrockapps.com;8 029 646 73 00; 8 029 778 97 89
REDALPHA;www.redalpha.by;+375 29 690 98 09
REDNAVIS;rednavis.com;   + 375 29 619 33 44 
RELSOFT;www.relsoft.by;+375 (29) 652-03-93
RIGHT STUDIO;www.right.by;+375-29 7564287 
ROBOTICS SCHOOL;robolab.by;+37525 9050505
ROCKETBODY TECHNOLOGIES;gorocketbody.com;+37529 1408601
ROXOFT;roxoft.by;+375-17 2527072
ROZUM ROBOTICS;rozum.com;+375 29 751 13 42
ROZUM SYSTEMS;rozumsystems.by;+375 17 3880178
RUBYROID DEVELOPMENT LLC;rubyroidlabs.com;+375 29 6174287
RUNA SYSTEMS;www.runasystems.by;+375 29 652 37 10
SAM SOLUTIONS;www.sam-solutions.com;+375 17 309-17-09
SAMPAD LTD;www.sampad.by;+375 17 361 9889
SAYGAMES;https://saygames.by;+37529 6754344
SCAND;www.scand.com;+375 17 256 07 76
SCIENCESOFT;https://www.scnsoft.by;+375 17 293 37 36
SDV SOFT;sdventures.com;+375 29 501 58 47
SEAVUS;seavus.com;+375 17 375 17 302 36 27; fax + 375 17 302 36 28
SENLA GROUP;senlainc.com;+375(33)3501957 
SENSOTRONICA LTD.;www.sensotronica.com;+375 17 288 60 29
SERVICE DESK;service-it.by;+375 17 215 55 00 +375 17 215 55 23 +375 29 666 84 44 
SEVEREX BY;severex.by;+375296046600
SINGULART SYSTEMS LLC;singulart.io;+375 29 694 05 50 
SIRION SOFT;www.sirion-soft.com;+375 29 188-88-48
SITEK ENGINEERING;N/A;+375 17 294 29 42
SK HYNIX MEMORY SOLUTIONS EASTERN EUROPE;skhms.by;+375 17 308 38 00 
SKYBUFFER;https://www.skybuffer.by;+375173059141
SKYWIND TECH BY;www.skywind-tech.by;+375 17 221 80 15
SMART IT;smart-it.by; +375-33-684-30-01
SMARTPOOL;smartpool.by;+375 29 259 8888 
SMARTPRO;www.smartpro.by;+375173503882
SMARTUM R&D;smartym.pro;+375 29-850-93-61
SOFTACOM;softacom.by;+375 (17) 318-76-94
SOFTAREX TECHNOLOGIES;softarex.com;+375 17 393 03 56 (57) 
SOFTCLUB ? SOFTWARE DEVELOPMENT CENTER;www.softclub.by;+375 17 279 33 00
SOFTEQ DEVELOPMENT;www.softeq.com;+375 17 388 05 51
SOFTERA SOLUTIONS;https://softera.by;+37517 3366369
SOFTFX DEV;www.soft-fx.com;+375 17 215 00 41; fax +375 17 215 00 40
SOFTGARANTSERVICE;sgs.by;+375 17  264 24 85(86)
SOFTGREAT;softgreat.com;+375 25 659 0320 
SOFTLOFT;softloft.io;+375293888120 
SOFTMAX;www.softmax.by;+375-29 132 00 07
SOFTSERVICE;softservice.by;+375 (152) 61 03 54
SOFTTECO;N/A;+375 17 2419025
SOLBEGSOFT;www.solbeg.com;+375 17 261 15 08; +375 29 662 66 54
SOLVY R&D;https://solvy.net;+375 29 379 30 09
SPECIFIC-GROUP SOFTWARE DEVELOPMENT DIVISION;www.specific-group.by;+37517 220 65 19, 220 72 70
SPIRAL SKAUT;spiralscout.com;+375 29 1203304
SPROIT;N/A;+375 17 203 85 21
STARK GAMES;stark-games.by;+375-29 3241223
START MATTER;https://startmatter.com;+375 232 212236
STEEL MONKEYS COMPANY;steelmonkeys.by;+375-17 2124128
STORYLINE LABS;https://www.invocable.com;+375 44 786-90-92
STORYMODE;https://storymode.pro;+375 29 278 25 81
STREAMCAPITAL;streamcapital.org;+375(29)6688167
STYLESOFT;www.stylesoft.by;+375 17 207 95 38
SUMATOSOFT;soft.edu.by;+375 29 625 51 78
SVAPS SYSTEMS;www.svaps.com;+375296559088
SVEZHIYSOK;https://shancegames.com;+375445420502
SWAG MASHA;swagmasha.com;+375445138301
SWAY;www.averson.by;+375 17 264-20-18
SYBERRY CIS LLC;syberry.com;+375 (33) 66-00-116
SYNESIS;www.synesis.by;+375 17 240 36 50
SYNESIS SPORT;N/A;+375-17-364 70 21
SYNESIS STIGMA;N/A;8-029-672-25-77
SYNESIS STRATUS;N/A;+375-17-364 70 21
SYNTEGRICO;www.syntegrico.com;+375 17 319-38-85
SYSTEM TECHNOLOGIES;www.st.by;+375 17 269-04-00
TAPLAB;taplab.app;+375 29 875 02 67
TARGETPROCESS;www.targetprocess.by;+375 17 256 88 66
TCP-SOFT;www.tcp-soft.com;+375 (17) 396-44-58
TECHNOTON ENGINEERING;N/A;+375 17 240 43 52
TECTUS MEDIA;www.imesh.com;+375 17 240-36-41
TEMSA;temsa.by;+ 375 29 792 98 55 
TEXODE TECHNOLOGIES;N/A;+375 17 385-24-50
TFH AI;www.tfh-ai.com;+375 33 366-50-92
TISPR;tispr.com;+375 29 5838003 
TODES LTD;www.todes.by;+375(17)233 96 16
TOP SOFT;topsoft.by;+375 17 294-99-99
TOTAL GAMES, LLC;totalgames.io;   +375 29 773 75 46
TOUCHLANE;touchlane.com;+37533 6941768
TRACKPOD;https://track-pod.com;+375445530341
TULACO;www.tulaco.by;+375 44 4768619
TWISTELLAR LTD.;www.twistellar.com;+375-29 6414136 
UMCO COMPANY;umco.by;+375-44-559-43-95 
UNIC LAB;N/A;+375-17-3885320
VASOFT;www.vironit.com;+375 29 752 11 76 
VEB TECHNOLOGIES;vebtech.by;+375173880373
VELMIE-SMART;velmie.com;+375 29 679 76 64 
VIACODEBEL;www.viacode.com;+375 17 2022386
VIBER MEDIA;viber.com;+375 17 240 36 44
VIGA SOFT LTD;www.lihtarik.co.uk;+375 29 383 54 28
VIPLAY MEDIA;N/A;+375 29 655 73 73
VIRTUAL REALITY TECHNOLOGIES;https://stereolife.biz;+375 29 66 00 686
VIRUSBLOKADA;www.anti-virus.by;+375 17 294-84-29
VISUTECH PLATING;visutechplating.by;+375 17 3483423
VISUTECH SYSTEM;visutechsystem.by;+375 17 3483702
VIV DEV;https://www.viv.health;+375293404000
VIZOR GAMES LLC;vizor-games.by;tel/fax +375 17 268 80 45 
VPI DEVELOPMENT CENTER;www.vpi-minsk.by;+375 17 283 68 53
VRTEK;vrtek.by;+375 172 35 54 53
WANNABY;wanna.by;+375299090667 
WEAPPY;weappy-studio.com;+375-29 6613682
WEAVORA CONSULTING;www.weavora.com;+375 17 275-05-78
WEB PAY;webpay.by;+375 17 2690430
WIMIX;www.wimix.by;+375 29 750-12-38
WISEWEB;www.wiseweb.by; +375 17 236-80-55
WIZART;wizart.tech;+375 (29) 699-59-96
WORKFUSION SYSTEMS;www.workfusion.com;+?75 29 110 73 05
WOWMAKING;wowmaking.net;+375293434548 (Recruiter) +375293434547 (Office Manager)
XB SOFTWARE;xbsoftware.com;+375-17 200 03 40
XPGRAPH;xpgraph.com;+375-44 7401525
YANDEXBEL;www.yandex.ru;+375 17 3281961
YELLOW SOFT LLC;www.yellow.id;+375445840208
YELLOW SQUARE;https://yellowsquare.dev;+375 (29) 825-94-92
ZENSOFT BY;www.zensoft.io;+375 29 777 37 52
ZORACHKA SOFT;www.zorachka.com;+375(25)912-05-06
ZORKAMOBI LLC;zorka.mobi;+375 (29) 7735125
ZTECH DEVELOPMENT;ztechsoftware.by;+375-33-362-58-84 
ZUBRSOFT;zubrsoft.com;+375 29 663 16 17
?????? ??? ????????;logic-way.com;+375 17 294-30-41
???????????? ???????????;www.inventain.com;+375 17 366 33 94
